name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Hercules 45.1 8.9 0.6409 0.6463 0.6512 0.1512 0.1531 0.1548 6.7239 6.7487 6.7758 221 223 226 0.0188 0.0234 0.0288 0.0252 0.0288 0.0328 0.0389 0.0407 0.0425 0 155 156 34
Hercules 44.1 8.6 0.6377 0.642 0.646 0.1565 0.158 0.1595 6.7239 6.7489 6.7784 221 223 226 0.0196 0.0241 0.0299 0.0316 0.0354 0.0402 0.0294 0.031 0.0326 0 158 153 33
Hercules 42.8 7.9 0.6327 0.6393 0.6454 0.1076 0.1093 0.1108 6.7911 6.8155 6.8479 228 230 234 0.0231 0.0283 0.0348 0.0396 0.0457 0.0524 0.0326 0.0345 0.0364 0 167 154 31
IC1396 98.9 4.0 0.4593 0.4618 0.4646 0.5563 0.5595 0.5629 9.7785 9.8095 9.8595 903 916 937 0.0575 0.0666 0.0763 0.081 0.0896 0.0992 0.0732 0.0755 0.0781 1 -141 902 63
IC1396 100.1 4.2 0.4886 0.491 0.4936 0.7387 0.7424 0.7464 9.7423 9.7834 9.834 888 905 926 0.0213 0.0262 0.0326 0.1042 0.1138 0.1252 0.0941 0.0962 0.0984 1 -158 888 66
IC1396 100.4 3.4 0.3761 0.3786 0.381 0.7532 0.7583 0.7634 9.8002 9.8695 9.9358 912 941 970 0.0349 0.043 0.0524 0.0969 0.1059 0.1167 0.1154 0.1183 0.1213 1 -169 923 55
IC1396 99.1 4.7 0.541 0.5439 0.5469 0.7214 0.7254 0.7294 9.7337 9.795 9.8366 884 909 927 0.0255 0.0318 0.0385 0.1019 0.1113 0.1221 0.0881 0.0904 0.0928 1 -143 894 74
IC2118 206.4 -26.0 0.4784 0.4887 0.4994 0.2047 0.2098 0.2146 7.4472 7.5834 7.6786 308 328 343 0.0205 0.0263 0.0333 0.0258 0.0321 0.04 0.0614 0.0647 0.0681 1 -264 -131 -143
IC2118 207.3 -27.2 0.7833 0.7999 0.8164 0.1377 0.1446 0.148 7.0963 7.1877 7.2501 262 273 281 0.0153 0.019 0.0229 0.0221 0.0272 0.0341 0.0325 0.0342 0.036 1 -215 -111 -124
IC2118 206.9 -26.6 0.7911 0.8068 0.8218 0.1622 0.2476 0.2542 7.021 7.2663 7.382 253 283 299 0.0237 0.0299 0.0372 0.0275 0.0358 0.047 0.0452 0.0481 0.051 1 -225 -114 -126
